name,s_price,o_price,rating,rating_count
TCL C825 164 cm (65 inch) QLED Ultra HD (4K) Smart Android TV (Graphite Grey) (2021 Model) | Mini LED ...,"₹1,09,999",,,13 Ratings & 1 Reviews
PHILIPS 6900 80 cm (32 inch) HD Ready LED Smart Android TV 2021 Edition,"₹16,990",,,14 Ratings & 3 Reviews
iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV,"₹52,999",,,122 Ratings & 19 Reviews
"Hisense A73F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 102W JBL 6 Speakers, Dolby Visio...","₹43,999",,,"2,341 Ratings & 465 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",,,"3,23,119 Ratings & 30,714 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264",,,"12,973 Ratings & 1,852 Reviews"
Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV Dolby Vision & 30W Dolby Audio,"₹59,999",,,"4,985 Ratings & 654 Reviews"
Lloyd 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹33,490",,,
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,299",,,"12,973 Ratings & 1,852 Reviews"
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,"₹9,599",,,
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹91,990",,,"1,351 Ratings & 179 Reviews"
Coocaa 80 cm (32 inch) HD Ready LED Smart Android TV with HDR 10 Dolby Audio and Eye Care Technology,"₹10,499",,,607 Ratings & 140 Reviews
Hyundai 98 cm (39 inch) HD Ready LED Smart Android Based TV,"₹19,490",,,4 Ratings & 1 Reviews
Thomson 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,"₹84,999",,,"1,030 Ratings & 295 Reviews"
